"","plot_name","ddlon","ddlat","Al","Ca","Cu","Fe","Mg","Mn","P","K","Zn","pH","Sand","OM","cec","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","CLOUDinter","CLOUDintra","CLOUDmean","CLOUDseason","aspect","cnd","ci","elev","hand","lsf","plc","prc","tca","vd","twi","slope","api","hapi","LOGG"
"43","TJK029",12.5727,-1.6586,466.13,16.99,0.19,926.78,32.98,4.47,2.21,51.88,0.81,4.74,46.37,15.27,3.71,226.798904418945,45,559,717.606628417969,262.723876953125,182.723876953125,80,225.798904418945,215.723876953125,235.798904418945,215.723876953125,1555.08471679688,237.664627075195,3.13806176185608,62,667.366638183594,19.4141845703125,590.306335449219,19.4141845703125,780.347961425781,421.875885009766,8266.212890625,18.4078941345215,3.43120765686035,7.81197452545166,-2.59145188331604,617.006469726562,22.143367767334,10.084867477417,4549068.5,-11833527,0.00385291269049048,133.989974975586,-11.3648481369019,1.50111162662506,0.351990431547165,0.329052299261093,49
"44","TJK030",12.5848,-1.65522,438.71,605.68,4.58,1594.64,128.69,77.73,14.13,88.82,4.45,5.04,37.36,19.33,6.85,225.023544311523,45,559.638061523438,718.793395996094,260.736389160156,180.736373901367,80,224.023544311523,213.736373901367,234.023544311523,213.736373901367,1801.95776367188,280.462524414062,4,62,788.40380859375,23.276123046875,677.465881347656,23.276123046875,783.782775878906,438.327453613281,8271.4287109375,20.8016242980957,2.97541832923889,10.3925304412842,-1.97691452503204,660.570739746094,13.5595684051514,0.994475483894348,-2707910.25,-4827245.5,4.47307184003876e-06,93.7656478881836,-16.2579517364502,1.57005429267883,0.394799143075943,0.318390101194382,49
"45","TJK031",12.5794,-1.78649,483.7,15.49,0.32,819.6,12.67,2.53,2.54,39.4,0.54,4.33,47.89,13.68,3.61,218.169494628906,45,558.005981445312,719.988037109375,254.126068115234,173.169494628906,80.9565811157227,217.169494628906,207.169494628906,227.169494628906,207.169494628906,1655.37377929688,261.251007080078,4,63,724.017211914062,20,618.697326660156,20,677.866516113281,323.525390625,8723.185546875,17.8617057800293,4.37692499160767,22.1271724700928,-0.481500744819641,795.295654296875,26.1226062774658,0.974568665027618,35895.1796875,-1979086.625,7.47756303098868e-06,38.1135139465332,-16.0745391845703,1.56905829906464,0.33171409368515,0.331286489963531,0
"46","TJK032",12.5766,-1.79217,737.07,13.34,0.44,795.34,13.94,2.9,4.15,48.83,0.88,4.04,35.72,16.41,3.69,218,45,558,719.708679199219,253.708679199219,173,81,217,207,227,207,1667.44543457031,263.440338134766,4,63,729.502502441406,20,623.990539550781,20,677.372314453125,315.944427490234,8735.6572265625,16.5157241821289,3.85435318946838,15.5197515487671,-0.619695425033569,792.682556152344,23.7534275054932,0.638712823390961,1269105.125,-2205287.5,9.90808189271775e-07,42.8245124816895,-16.3274097442627,1.53640174865723,0.317395657300949,0.335366070270538,49
"47","TJK033",12.5874,-1.79072,304.38,134.74,2.4,529.14,37.86,19.71,8.01,35.81,1.17,4.85,76.07,9.03,2.15,218.48258972168,45,558.405456542969,719.543395996094,254.431488037109,173.48258972168,81,217.888061523438,207.48258972168,227.48258972168,207.48258972168,1634.67041015625,257.179321289062,4,63,712.452026367188,20,612.642456054688,20,674.930603027344,327.231597900391,8719.10546875,17.8316287994385,2.98685956001282,10.7801561355591,-3.24411511421204,762.958679199219,15.5129728317261,1.86739611625671,-637877.5625,-8411353,4.49885046691634e-05,71.2997894287109,-15.5732469558716,1.55816686153412,0.345768362283707,0.325797975063324,0
"48","TJK037",12.8004,0.5174,416.6,13.77,0.38,428.45,12.72,1.95,2.92,33.33,0.48,4.18,44.15,10.77,2.82,231.181442260742,43,604.511962890625,655.66943359375,267.181427001953,195.669464111328,71.4880218505859,229.181442260742,221.669464111328,240.181442260742,221.669464111328,1574.26123046875,279.224090576172,11.7086486816406,60,721.752807617188,60.7630767822266,568.834228515625,60.7630767822266,709.51220703125,736.389099121094,8180.150390625,44.3455657958984,2.00191783905029,12.6667261123657,-0.344455569982529,497.514770507812,18.066967010498,1.4164514541626,383170.34375,-4214165.5,2.76479586318601e-05,82.2795028686523,-14.708592414856,1.55711328983307,0.428220897912979,0.720125675201416,0
"49","TJK039",12.7987,0.510182,434.94,27.48,1.61,620.94,16.8,3.62,4.49,52.23,0.48,4.2,40.23,10.97,2.83,230.388061523438,43,604.485473632812,654.776123046875,266.307861328125,194.695938110352,71.3078765869141,228.388061523438,220.695938110352,239.307876586914,220.695938110352,1621.75329589844,287.435913085938,11.818564414978,60,743.269348144531,62.5192184448242,586.348022460938,62.5192184448242,720.440368652344,711.557983398438,8200.478515625,44.438362121582,3.25611281394958,54.0042762756348,4.63109064102173,547.214050292969,63.3173637390137,0.546768248081207,460758.9375,2203304,4.86298290525156e-07,32.0711135864258,-15.392276763916,1.54503774642944,0.404224067926407,0.728509485721588,0
"50","TJK040",12.7989,0.50533,401.82,15.82,1.52,468.15,11.26,2.18,3.14,38.57,0.47,4.02,40.26,10.25,3.14,230.388061523438,43,604.026550292969,654.776123046875,266.016845703125,194.404891967773,71.0168304443359,228.388061523438,220.404891967773,239.016830444336,220.404891967773,1658.02209472656,293.189666748047,12.568564414978,60,757.194763183594,64.1871337890625,600.396545410156,64.1871337890625,725.560546875,675.940673828125,8214.8203125,42.5522575378418,3.26162385940552,50.740406036377,2.48651099205017,540.902709960938,52.1303863525391,0.634488642215729,1662598.25,2483823.25,6.79700747241441e-07,37.9375267028809,-15.6936864852905,1.56666147708893,0.385635316371918,0.749077677726746,0
"51","TJK041",12.792,0.506447,438.25,13.37,0.6,453.85,11.87,2.12,3.19,37.67,0.43,4.17,43.24,11.25,3.22,229.744247436523,43,604.399536132812,653.787658691406,265.744232177734,194,71,228,220,238.744247436523,220,1719.17761230469,304.94140625,12.8128080368042,60,786.412841796875,66.9499359130859,622.108825683594,66.9499359130859,737.208923339844,645.737915039062,8273.6025390625,41.1801147460938,2.94131875038147,44.3510704040527,4.39253664016724,540.598999023438,42.5701332092285,0.547764182090759,1098867.625,5154904.5,4.04001667675402e-07,38.4862594604492,-16.0895175933838,1.55363488197327,0.384561061859131,0.703573167324066,0
"52","TJK042",12.8012,0.50145,374.18,11.21,0.8,479.96,12.49,2.77,2.62,33.8,0.4,4.05,40.63,10.24,2.42,230.638061523438,43,604.074768066406,655.201354980469,266.1318359375,194.769897460938,71.1318359375,228.638061523438,220.769897460938,239.1318359375,220.769897460938,1628.23449707031,287.110900878906,12.3619422912598,60,742.415100097656,62.7972717285156,590.73193359375,62.7972717285156,724.722900390625,698.324829101562,8190.9365234375,42.899772644043,3.15568542480469,41.3783378601074,-0.406808525323868,527.440612792969,46.69873046875,0.729446828365326,-190918.640625,4690578,7.82639574481436e-07,51.2000007629395,-15.3785791397095,1.5653600692749,0.382005304098129,0.778446018695831,0
"53","TJK049",12.3002,0.405693,427.08,13.53,1.29,493.66,15.56,2.49,3.5,42.5,0.54,3.93,33.02,12.21,4.06,232.106185913086,42,599.804870605469,635.969055175781,267.106170654297,196.557052612305,71,230.106185913086,222.812805175781,240.557052612305,222.812805175781,1741.94702148438,318.148345947266,11,64,858.897155761719,47.3743934631348,623.812561035156,47.3743934631348,695.466918945312,562.697143554688,8473.404296875,35.7711334228516,2.923175573349,33.880485534668,3.46749448776245,504.533905029297,35.1253356933594,0.518002331256866,1193558.25,5096469.5,3.36990922278346e-07,68.4446563720703,-15.7229900360107,1.55493903160095,0.410374343395233,0.453737407922745,49
"54","TJK050",12.3031,0.392328,441.14,13.96,0.75,376.23,14.57,2.26,2.74,39.29,0.47,3.97,33.64,11.41,4.11,232.466323852539,42,599.932678222656,635.230407714844,267.517456054688,197,71,230.466323852539,223.466323852539,241,223.466323852539,1687.89624023438,304.647186279297,10,63.5944900512695,824.854797363281,45.0867614746094,610.4306640625,45.0867614746094,687.976623535156,605.52734375,8488.6845703125,39.8637351989746,1.93091261386871,35.2435607910156,0.862872898578644,497.236083984375,40.2645416259766,0.68383514881134,1071779.25,5328605.5,7.73361591654975e-07,71.7939376831055,-16.0117874145508,1.57067120075226,0.331505686044693,0.48212730884552,49
