"","tax_tax","tax_morpho2"
"1","Afrocanthium spec.nov.1","Afrocanthium spec.nov.1"
"2","Afrostyrax kamerunensis","Afrostyrax kamerunensis"
"3","Afrostyrax lepidophyllus","Afrostyrax lepidophyllus"
"4","Afrostyrax macranthus","Afrostyrax macranthus"
"5","Afzelia","Afzelia sp1"
"6","Afzelia bella","Afzelia sp1"
"7","Afzelia bipindensis","Afzelia sp1"
"8","Afzelia pachyloba","Afzelia pachyloba"
"9","Aidia","Aidia sp1"
"10","Aidia micrantha","Aidia micrantha"
"11","Aidia ochroleuca","Aidia ochroleuca"
"12","Aidia rubens","Aidia rubens"
"13","Albizia","Albizia sp1"
"14","Albizia adianthifolia","Albizia adianthifolia"
"15","Albizia ferruginea","Albizia ferruginea"
"16","Albizia glaberrima","Albizia glaberrima"
"17","Albizia gummifera","Albizia gummifera"
"18","Alchornea","Alchornea sp1"
"19","Alchornea floribunda","Alchornea floribunda"
"20","Allanblackia","Allanblackia sp1"
"21","Allanblackia floribunda","Allanblackia sp1"
"22","Allanblackia gabonensis","Allanblackia sp1"
"23","Allexis batangae","Allexis batangae"
"24","Allexis cauliflora","Allexis cauliflora"
"25","Allophylus","Allophyllus sp1"
"26","Allophylus africanus","Allophyllus sp1"
"27","Allophylus bullatus","Allophyllus sp1"
"28","Allophylus cobbe","Allophyllus sp1"
"29","Alstonia boonei","Alstonia boonei"
"30","Alstonia congensis","Alstonia congensis"
"31","Amanoa bracteosa","Amanoa bracteosa"
"32","Amphimas","Amphimas sp1"
"33","Amphimas ferrugineus","Amphimas ferrugineus"
"34","Amphimas pterocarpoides","Amphimas pterocarpoides"
"35","Amphimas tessmannii","Amphimas pterocarpoides"
"36","Aneulophus africanus","Aneulophus africanus"
"37","Angylocalyx","Angylocalyx sp1"
"38","Angylocalyx oligophyllus","Angylocalyx sp1"
"39","Angylocalyx pynaertii","Angylocalyx sp1"
"40","Angylocalyx talbotii","Angylocalyx sp1"
"41","Angylocalyx vermeulenii","Angylocalyx sp1"
"42","Anisophyllea","Anisophyllea sp1"
"43","Anisophyllea meniaudi","Anisophyllea meniaudi"
"44","Anisophyllea myriosticta","Anisophyllea myriosticta"
"45","Anisophyllea neopurpurascens","Anisophyllea purpurascens"
"46","Anisophyllea polyneura","Anisophyllea polyneura"
"47","Anisophyllea purpurascens","Anisophyllea purpurascens"
"48","Anisophyllea sororia","Anisophyllea sororia"
"49","Annickia","Annickia sp1"
"50","Annickia affinis","Annickia affinis"
"51","Annickia chlorantha","Annickia affinis"
"52","Annickia lebrunii","Annickia lebrunii"
"53","Anonidium","Anonidium sp1"
"54","Anonidium brieyi","Anonidium sp1"
"55","Anonidium floribundum","Anonidium sp1"
"56","Anonidium mannii","Anonidium sp1"
"57","Anonidium mannii var. brieyi","Anonidium sp1"
"58","Anopyxis klaineana","Anopyxis klaineana"
"59","Anthocleista","Anthocleista sp1"
"60","Anthocleista schweinfurthii","Anthocleista schweinfurthii"
"61","Anthocleista vogelii","Anthocleista vogelii"
"62","Anthonotha","Anthonotha sp1"
"63","Anthonotha acuminata","Anthonotha sp1"
"64","Anthonotha brieyi","Anthonotha sp1"
"65","Anthonotha ferruginea","Anthonotha ferruginea"
"66","Anthonotha fragrans","Anthonotha fragrans"
"67","Anthonotha macrophylla","Anthonotha sp1"
"68","Anthonotha pynaertii","Anthonotha sp1"
"69","Anthonotha stipulacea","Anthonotha stipulacea"
"70","Anthonotha trunciflora","Anthonotha trunciflora"
"71","Anthonotha wijmacampensis","Anthonotha sp1"
"72","Anthostema aubryanum","Anthostema aubryanum"
"73","Antiaris","Antiaris toxicaria"
"74","Antiaris toxicaria","Antiaris toxicaria"
"75","Antidesma","Antidesma sp1"
"76","Antidesma laciniatum","Antidesma laciniatum"
"77","Antidesma rufescens","Antidesma venosum"
"78","Antidesma vogelianum","Antidesma vogelianum"
"79","Antrocaryon klaineanum","Antrocaryon klaineanum"
"80","Antrocaryon micraster","Antrocaryon nannanii"
"81","Antrocaryon nannanii","Antrocaryon nannanii"
"82","Aoranthe cladantha","Aoranthe cladantha"
"83","Aphanocalyx","Aphanocalyx sp1"
"84","Aphanocalyx cynometroides","Aphanocalyx cynometroides"
"85","Aphanocalyx djumaensis","Aphanocalyx djumaensis"
"86","Aphanocalyx heitzii","Aphanocalyx heitzii"
"87","Aphanocalyx jenseniae","Aphanocalyx jenseniae"
"88","Aphanocalyx marginervatus","Aphanocalyx margininervatus"
"89","Aphanocalyx margininervatus","Aphanocalyx margininervatus"
"90","Aphanocalyx microphyllus","Aphanocalyx microphyllus"
"91","Aporrhiza","Aporrhiza sp1"
"92","Aporrhiza lastoursvillensis","Aporrhiza sp1"
"93","Aporrhiza urophylla","Aporrhiza urophylla"
"94","Aptandra zenkeri","Aptandra zenkeri"
"95","Aubletiana leptostachys","Aubletiana leptostachys"
"96","Aubletiana macrostachys","Aubletiana macrostachys"
"97","Aubrevillea","Aubrevillea sp1"
"98","Aubrevillea platycarpa","Aubrevillea platycarpa"
"99","Aucoumea klaineana","Aucoumea klaineana"
"100","Augouardia le-testui","Augouardia le-testui"
"101","Aulacocalyx","Aulacocalyx sp1"
"102","Aulacocalyx caudata","Aulacocalyx caudata"
"103","Aulacocalyx jasminiflora","Aulacocalyx jasminiflora"
"104","Aulacocalyx subulata","Aulacocalyx subulata"
"105","Autranella congolensis","Autranella congolensis"
"106","Baikiaea","Baikiaea sp1"
"107","Baikiaea insignis","Baikiaea insignis"
"108","Baikiaea robynsii","Baikiaea robynsii"
"109","Baillonella toxisperma","Baillonella toxisperma"
"110","Balanites wilsoniana","Balanites wilsoniana"
"111","Baphia","Baphia sp1"
"112","Baphia acuminata","Baphia acuminata"
"113","Baphia buettneri","Baphia sp1"
"114","Baphia cymosa","Baphia sp1"
"115","Baphia hylophila","Baphia sp1"
"116","Baphia laurifolia","Baphia sp1"
"117","Baphia leptobotrys","Baphia leptobotrys"
"118","Baphia leptostemma","Baphia sp1"
"119","Baphia letestui","Baphia letestui"
"120","Baphia nitida","Baphia sp1"
"121","Baphia sp1 aff leptostemma","Baphia sp1"
"122","Baphiopsis parviflora","Baphiopsis parviflora"
"123","Barteria dewevrei","Barteria dewevrei"
"124","Barteria fistulosa","Barteria fistulosa"
"125","Barteria nigritana","Barteria nigritana"
"126","Beilschmiedia","Beilschmiedia sp1"
"127","Beilschmiedia  sp.nov. Lachenaud","Beilschmiedia sp1"
"128","Beilschmiedia calcitranthera","Beilschmiedia sp1"
"129","Beilschmiedia congolana","Beilschmiedia sp1"
"130","Beilschmiedia corbisieri","Beilschmiedia sp1"
"131","Beilschmiedia dinklagei","Beilschmiedia sp1"
"132","Beilschmiedia fulva","Beilschmiedia fulva"
"133","Beilschmiedia gaboonensis","Beilschmiedia sp1"
"134","Beilschmiedia jacques-felixii","Beilschmiedia sp1"
"135","Beilschmiedia klainei","Beilschmiedia sp1"
"136","Beilschmiedia mannii","Beilschmiedia sp1"
"137","Beilschmiedia minutiflora","Beilschmiedia sp1"
"138","Beilschmiedia neoletestui","Beilschmiedia sp1"
"139","Beilschmiedia pierreana","Beilschmiedia sp1"
"140","Belonophora coffeoides","Belonophora coffeoides"
"141","Belonophora coffeoides subsp. hypoglauca","Belonophora coffeoides"
"142","Belonophora coriacea","Belonophora coriacea"
"143","Berlinia","Berlinia sp1"
"144","Berlinia auriculata","Berlinia sp1"
"145","Berlinia bracteosa","Berlinia bracteosa"
"146","Berlinia confusa","Berlinia sp1"
"147","Berlinia congolensis","Berlinia sp1"
"148","Berlinia craibiana","Berlinia sp1"
"149","Berlinia rabiensis","Berlinia sp1"
"150","Bersama","Bersama sp1"
"151","Bertiera","Bertiera sp1"
"152","Bertiera arctistipula","Bertiera sp1"
"153","Bertiera racemosa","Bertiera sp1"
"154","Bertiera subsessilis","Bertiera sp1"
"155","Bikinia","Bikinia sp1"
"156","Bikinia breynei","Bikinia breynei"
"157","Bikinia durandii","Bikinia durandii"
"158","Bikinia evrardii","Bikinia evrardii"
"159","Bikinia grisea","Bikinia grisea"
"160","Bikinia le-testui","Bikinia letestui"
"161","Bikinia le-testui subsp. le-testui","Bikinia letestui"
"162","Bikinia letestui","Bikinia letestui"
"163","Bikinia media","Bikinia media"
"164","Bikinia pellegrinii","Bikinia pellegrinii"
"165","Blighia","Blighia sp1"
"166","Blighia sapida","Blighia sp1"
"167","Blighia unijugata","Blighia unijugata"
"168","Blighia welwitschii","Blighia welwitschii"
"169","Blighiopsis gabonica","Blighiopsis gabonica"
"170","Bobgunnia fistuloides","Bobgunnia fistuloides"
"171","Bombax","Bombax sp1"
"172","Bombax brevicuspe","Bombax brevicuspe"
"173","Bombax buonopozense","Bombax buonopozense"
"174","Brachystegia","Brachystegia sp1"
"175","Brachystegia mildbraedii","Brachystegia mildbraedii"
"176","Brazzeia","Brazzeia sp1"
"177","Brazzeia soyauxii","Brazzeia soyauxii"
"178","Brenania brieyi","Brenania brieyi"
"179","Bridelia","Bridelia sp1"
"180","Bridelia micrantha","Bridelia sp1"
"181","Brieya fasciculatum","Brieya fasciculatum"
"182","Buchholzia","Buchholzia sp1"
"183","Buchholzia coriacea","Buchholzia sp1"
"184","Calamus holttumii",""
"185","Calpocalyx","Calpocalyx sp1"
"186","Calpocalyx dinklagei","Calpocalyx sp1"
"187","Calpocalyx heitzii","Calpocalyx heitzii"
"188","Calpocalyx klainei","Calpocalyx sp1"
"189","Calpocalyx ngouniensis","Calpocalyx sp1"
"190","Campylospermum","Campylospermum sp1"
"191","Campylospermum calanthum","Campylospermum calanthum"
"192","Campylospermum costatum","Campylospermum costatum"
"193","Campylospermum duparquetianum","Campylospermum duparquetianum"
"194","Campylospermum elongatum","Campylospermum elongatum"
"195","Campylospermum reticulatum","Campylospermum reticulatum"
"196","Campylospermum sulcatum","Campylospermum sulcatum"
"197","Campylospermum vogelii","Campylospermum vogelii"
"198","Canarium schweinfurthii","Canarium schweinfurthii"
"199","Carapa","Carapa sp1"
"200","Carapa angustifolia","Carapa sp1"
"201","Carapa macrantha","Carapa sp1"
"202","Carapa parviflora","Carapa sp1"
"203","Carapa procera","Carapa sp1"
"204","Carpobrotus edulis","Carpobrotus sp1"
"205","Carpolobia","Carpolobia sp1"
"206","Carpolobia alba","Carpolobia alba"
"207","Carpolobia gossweileri","Carpolobia gossweileri"
"208","Casearia","Casearia sp1"
"209","Casearia barteri","Casearia sp1"
"210","Casearia prismatocarpa","Casearia sp1"
"211","Cassipourea","Cassipourea sp1"
"212","Cassipourea acuminata","Cassipourea sp1"
"213","Cassipourea barteri","Cassipourea barteri"
"214","Cassipourea carringtoniana","Cassipourea sp1"
"215","Cassipourea congoensis","Cassipourea sp1"
"216","Cassipourea dinklagei","Cassipourea sp1"
"217","Cassipourea gummiflua","Cassipourea gummiflua"
"218","Cassipourea schizocalyx","Cassipourea schizocalyx"
"219","Cassipourea sp.nov. aff. gummiflua Lachenaud","Cassipourea sp.nov. aff. gummiflua Lachenaud"
"220","Cavacoa","Cavacoa quintasii"
"221","Cavacoa quintasii","Cavacoa quintasii"
"222","Ceiba pentandra","Ceiba pentandra"
"223","Celtis","Celtis sp1"
"224","Celtis mildbraedii","Celtis mildbraedii"
"225","Celtis tessmannii","Celtis tessmannii"
"226","Celtis zenkeri","Celtis zenkeri"
"227","Centroplacus glaucinus","Centroplacus glaucinus"
"228","Chaetocarpus africanus","Chaetocarpus africanus"
"229","Chassalia petitiana",""
"230","Chlamydocola","Chlamydocola sp1"
"231","Chlamydocola chlamydantha","Chlamydocola chlamydantha"
"232","Chlamydocola lastoursvillensis","Chlamydocola lastoursvillensis"
"233","Chonopetalum stenodictyum","Lychnodiscus brevibracteatus"
"234","Christiana africana","Christiana africana"
"235","Chrysobalanus icaco","Chrysobalanus icaco"
"236","Chrysophyllum","Chrysophyllum sp1"
"237","Chrysophyllum africanum","Chrysophyllum africanum/perpulchrum/giganteum"
"238","Chrysophyllum beguei","Chrysophyllum beguei"
"239","Chrysophyllum boukokoense","Chrysophyllum sp1"
"240","Chrysophyllum giganteum","Chrysophyllum africanum/perpulchrum/giganteum"
"241","Chrysophyllum lacourtianum","Chrysophyllum lacourtianum"
"242","Chrysophyllum perpulchrum","Chrysophyllum africanum/perpulchrum/giganteum"
"243","Chrysophyllum pruniforme","Chrysophyllum pruniforme"
"244","Chrysophyllum sp2 aff boukokuese","Chrysophyllum sp1"
"245","Chrysophyllum subnudum","Chrysophyllum subnudum"
"246","Chrysophyllum welwitschii","Chrysophyllum welwitschii"
"247","Chytranthus","Chytranthus sp1"
"248","Chytranthus angustifolius","Chytranthus angustifolius"
"249","Chytranthus carneus","Chytranthus carneus"
"250","Chytranthus cauliflorus","Chytranthus cauliflorus"
"251","Chytranthus gilletii","Chytranthus gilletii"
"252","Chytranthus imenoensis","Chytranthus sp1"
"253","Chytranthus macrobotrys","Chytranthus sp1"
"254","Chytranthus macrophyllus","Chytranthus sp1"
"255","Chytranthus setosus","Chytranthus setosus"
"256","Chytranthus talbotii","Chytranthus sp1"
"257","Cissus","Cissus sp1"
"258","Cleistanthus","Cleistanthus sp1"
"259","Cleistanthus bambidianus","Cleistanthus bambidianus"
"260","Cleistanthus caudatus","Cleistanthus sp2"
"261","Cleistanthus gabonensis","Cleistanthus gabonensis"
"262","Cleistanthus itsoghensis","Cleistanthus itsoghensis"
"263","Cleistanthus letouzeyi","Cleistanthus letouzeyi"
"264","Cleistanthus libericus","Cleistanthus libericus"
"265","Cleistanthus ngounyensis","Cleistanthus sp2"
"266","Cleistanthus pierlotii","Cleistanthus sp2"
"267","Cleistanthus sp2 aff letouzeyi","Cleistanthus sp1"
"268","Cleistanthus willmannianus","Cleistanthus sp2"
"269","Cleistanthus zenkeri","Cleistanthus zenkeri"
"270","Cleistopholis","Cleistopholis sp1"
"271","Cleistopholis glauca","Cleistopholis glauca"
"272","Cleistopholis patens","Cleistopholis patens"
"273","Cleistopholis staudtii","Cleistopholis staudtii"
"274","Coelocaryon botryoides","Coelocaryon preussii"
"275","Coelocaryon preussii","Coelocaryon preussii"
"276","Coffea","Coffea sp1"
"277","Cola","Cola sp1"
"278","Cola acuminata","Cola acuminata/ballayi"
"279","Cola altissima","Cola altissima"
"280","Cola ballayi","Cola acuminata/ballayi"
"281","Cola crispiflora","Cola crispiflora"
"282","Cola digitata","Cola digitata"
"283","Cola duparquetiana","Cola duparquetiana/ficifolia"
"284","Cola ficifolia","Cola duparquetiana/ficifolia"
"285","Cola flavo-velutina","Cola gabonensis"
"286","Cola gabonensis","Cola gabonensis"
"287","Cola griseiflora","Cola griseiflora"
"288","Cola hispida","Cola hispida"
"289","Cola lateritia","Cola lateritia"
"290","Cola lissachensis","Cola lissachensis"
"291","Cola lizae","Cola lizae"
"292","Cola mahoundensis","Cola mahoundensis"
"293","Cola marsupium","Cola marsupium"
"294","Cola mayimbensis","Cola mayimbensis"
"295","Cola pachycarpa","Cola pachycarpa"
"296","Cola rostrata","Cola rostrata/tsandensis"
"297","Cola sp2 aff rostrata","Cola sp1"
"298","Cola sp7 aff gabonensis","Cola sp1"
"299","Cola tsandensis","Cola rostrata/tsandensis"
"300","Colletoecema gabonensis","Colletoecema gabonensis"
"301","Copaifera mildbraedii","Copaifera mildbraedii"
"302","Copaifera religiosa","Copaifera religiosa"
"303","Cordia","Cordia sp1"
"304","Cordia platythyrsa","Cordia sp1"
"305","Corynanthe","Corynanthe sp1"
"306","Corynanthe johimbe","Corynanthe johimbe"
"307","Corynanthe macroceras","Corynanthe macroceras"
"308","Corynanthe mayumbensis","Corynanthe mayumbensis"
"309","Coula edulis","Coula edulis"
"310","Craibia","Craibia sp1"
"311","Craibia atlantica","Craibia sp1"
"312","Craibia simplex","Craibia simplex"
"313","Crateranthus","Crateranthus sp1"
"314","Crateranthus le-testui","Crateranthus sp1"
"315","Crateranthus talbotii","Crateranthus sp1"
"316","Craterispermum","Craterispermum sp1"
"317","Craterispermum caudatum","Craterispermum sp1"
"318","Craterispermum cerinanthum","Craterispermum sp1"
"319","Craterispermum gabonicum","Craterispermum sp1"
"320","Craterispermum ledermannii","Craterispermum sp1"
"321","Craterispermum parvifolium","Craterispermum sp1"
"322","Cremaspora","Cremaspora sp1"
"323","Croton","Croton sp1"
"324","Croton oligandrus","Croton oligandrus"
"325","Croton sylvaticus","Croton sylvaticus"
"326","Crotonogyne","Crotonogyne sp1"
"327","Crotonogyne gabunensis","Crotonogyne sp1"
"328","Crotonogyne manniana","Crotonogyne sp1"
"329","Crudia","Crudia sp1"
"330","Crudia gabonensis","Crudia gabonensis"
"331","Crudia harmsiana","Crudia harmsiana"
"332","Crudia klainei","Crudia klainei"
"333","Crudia liberica","Crudia sp1"
"334","Crudia zenkeri","Crudia zenkeri"
"335","Cryptosepalum","Cryptosepalum sp1"
"336","Cryptosepalum congolanum","Cryptosepalum congolanum"
"337","Cryptosepalum pellegrinianum","Cryptosepalum pellegrinianum"
"338","Ctenolophon englerianus","Ctenolophon englerianus"
"339","Cuviera","Cuviera sp1"
"340","Cuviera le-testui","Cuviera le-testui"
"341","Cylicodiscus gabunensis","Cylicodiscus gabunensis"
"342","Cynometra","Cynometra sp1"
"343","Cynometra mannii","Cynometra mannii"
"344","Cyrtogonone argentea","Cyrtogonone argentea"
"345","Dacryodes","Dacryodes sp1"
"346","Dacryodes buettneri","Dacryodes buettneri"
"347","Dacryodes camerunensis","Dacryodes sp1"
"348","Dacryodes ebatom","Dacryodes sp1"
"349","Dacryodes edulis","Dacryodes sp1"
"350","Dacryodes heterotricha","Dacryodes sp1"
"351","Dacryodes igaganga","Dacryodes sp1"
"352","Dacryodes klaineana","Dacryodes sp1"
"353","Dacryodes le-testui","Dacryodes sp1"
"354","Dacryodes ledermannii","Dacryodes sp1"
"355","Dacryodes macrophylla","Dacryodes sp1"
"356","Dacryodes normandii","Dacryodes normandii"
"357","Dacryodes osika","Dacryodes sp1"
"358","Dacryodes pubescens","Dacryodes sp1"
"359","Dacryodes villiersiana","Dacryodes sp1"
"360","Dactyladenia","Dactyladenia sp1"
"361","Dactyladenia barteri","Dactyladenia barteri"
"362","Dactyladenia bellayana","Dactyladenia bellayana"
"363","Dactyladenia campestris","Dactyladenia campestris"
"364","Dactyladenia chevalieri","Dactyladenia chevalieri"
"365","Dactyladenia eketensis","Dactyladenia eketensis"
"366","Dactyladenia floretii","Dactyladenia floretii"
"367","Dactyladenia floribunda","Dactyladenia floribunda"
"368","Dactyladenia jongkindii","Dactyladenia jongkindii"
"369","Dactyladenia lehmbachii","Dactyladenia lehmbachii"
"370","Dactyladenia letestui","Dactyladenia letestui"
"371","Dactyladenia librevillensis","Dactyladenia librevillensis"
"372","Dactyladenia pallescens","Dactyladenia pallescens"
"373","Dactyladenia sp2 aff staudtii","Dactyladenia sp1"
"374","Dactyladenia sp4","Dactyladenia sp1"
"375","Dactyladenia staudtii","Dactyladenia staudtii"
"376","Dalbergia","Dalbergia sp1"
"377","Daniellia","Daniellia sp1"
"378","Daniellia klainei","Daniellia sp1"
"379","Daniellia pynaertii","Daniellia sp1"
"380","Daniellia soyauxii","Daniellia sp1"
"381","Dasylepis","Dasylepis sp1"
"382","Dasylepis racemosa","Dasylepis sp1"
"383","Decorsella arborea","Decorsella arborea"
"384","Deinbollia","Deinbollia sp1"
"385","Deinbollia acuminata","Deinbollia sp1"
"386","Deinbollia rambaensis","Deinbollia sp1"
"387","Desbordesia","Desbordesia glaucescens"
"388","Desbordesia glaucescens","Desbordesia glaucescens"
"389","Desmostachys","Desmostachys sp1"
"390","Desmostachys oblongifolius","Desmostachys oblongifolius"
"391","Desplatsia","Desplatsia sp1"
"392","Desplatsia subericarpa","Desplatsia sp1"
"393","Detarium macrocarpum","Detarium macrocarpum"
"394","Dialium","Dialium sp1"
"395","Dialium aff. lopense Lachenaud","Dialium sp1"
"396","Dialium angolense","Dialium sp1"
"397","Dialium bipindense","Dialium sp1"
"398","Dialium corbisieri","Dialium sp1"
"399","Dialium dinklagei","Dialium dinklagei"
"400","Dialium englerianum","Dialium englerianum"
"401","Dialium eurysepalum","Dialium eurysepalum"
"402","Dialium guineense","Dialium sp1"
"403","Dialium lopense","Dialium lopense"
"404","Dialium pachyphyllum","Dialium sp1"
"405","Dialium sp1 aff angolense","Dialium sp1"
"406","Dialium sp3","Dialium sp1"
"407","Dialium sp4","Dialium sp1"
"408","Dialium tessmannii","Dialium tessmannii"
"409","Dialium zenkeri","Dialium sp1"
"410","Dichaetanthera africana","Dichaetanthera africana"
"411","Dichapetalum","Dichapetalum sp1"
"412","Dichapetalum angolense","Dichapetalum sp1"
"413","Dichapetalum barteri","Dichapetalum sp1"
"414","Dichapetalum glomeratum","Dichapetalum sp1"
"415","Dichapetalum insigne","Dichapetalum sp1"
"416","Dichapetalum integripetalum","Dichapetalum sp1"
"417","Dichostemma glaucescens","Dichostemma glaucescens"
"418","Didelotia","Didelotia sp1"
"419","Didelotia africana","Didelotia africana/letouzeyi"
"420","Didelotia brevipaniculata","Didelotia brevipaniculata"
"421","Didelotia letouzeyi","Didelotia africana/letouzeyi"
"422","Didelotia minutiflora","Didelotia minutiflora"
"423","Didelotia unifoliolata","Didelotia unifoliolata"
"424","Diogoa zenkeri","Diogoa zenkeri"
"425","Diospyros","Diospyros sp1"
"426","Diospyros abyssinica","Diospyros abyssinica"
"427","Diospyros barteri","Diospyros rubicunda"
"428","Diospyros bipindensis","Diospyros bipindensis"
"429","Diospyros boala","Diospyros boala"
"430","Diospyros cinnabarina","Diospyros cinnabarina/simulans"
"431","Diospyros cleistantha","Diospyros cleistantha"
"432","Diospyros conocarpa","Diospyros conocarpa"
"433","Diospyros crassiflora","Diospyros crassiflora"
"434","Diospyros dendo","Diospyros dendo"
"435","Diospyros fragrans","Diospyros fragrans"
"436","Diospyros gabunensis","Diospyros gabunensis"
"437","Diospyros gracilescens","Diospyros gracilescens"
"438","Diospyros gracilipes","Diospyros gracilipes"
"439","Diospyros hoyleana","Diospyros hoyleana"
"440","Diospyros iturensis","Diospyros iturensis"
"441","Diospyros kamerunensis","Diospyros kamerunensis"
"442","Diospyros korupensis","Diospyros korupensis"
"443","Diospyros mannii","Diospyros mannii"
"444","Diospyros melocarpa","Diospyros melocarpa"
"445","Diospyros obliquifolia","Diospyros obliquifolia"
"446","Diospyros physocalycina","Diospyros physocalycina"
"447","Diospyros piscatoria","Diospyros piscatoria"
"448","Diospyros platanoides","Diospyros platanoides"
"449","Diospyros polystemon","Diospyros polystemon"
"450","Diospyros preussii","Diospyros preussii"
"451","Diospyros pseudoiturensis","Diospyros pseudoiturensis"
"452","Diospyros pseudomespilus","Diospyros pseudomespilus"
"453","Diospyros rabiensis","Diospyros rabiensis"
"454","Diospyros rubicunda","Diospyros rubicunda"
"455","Diospyros sanza-minika","Diospyros sanza-minika"
"456","Diospyros simulans","Diospyros cinnabarina/simulans"
"457","Diospyros soyauxii","Diospyros soyauxii"
"458","Diospyros sp aff monbuttensis","Diospyros sp1"
"459","Diospyros sp.nov.1 aff cinnabarina","Diospyros sp1"
"460","Diospyros sp2 aff iturensis","Diospyros sp1"
"461","Diospyros sp8 aff melocarpa","Diospyros sp1"
"462","Diospyros suaveolens","Diospyros suaveolens"
"463","Diospyros subargentea","Diospyros subargentea"
"464","Diospyros vermoesenii","Diospyros vermoesenii"
"465","Diospyros viridicans","Diospyros viridicans"
"466","Diospyros wagemansii","Diospyros wagemansii"
"467","Diospyros zenkeri","Diospyros zenkeri"
"468","Discoglypremna caloneura","Discoglypremna caloneura"
"469","Distemonanthus benthamianus","Distemonanthus benthamianus"
"470","Dracaena","Dracaena sp1"
"471","Dracaena arborea","Dracaena arborea"
"472","Dracaena laxissima","Dracaena laxissima"
"473","Dracaena mannii","Dracaena mannii"
"474","Drypetes","Drypetes sp1"
"475","Drypetes aframensis","Drypetes aframensis"
"476","Drypetes arborescens","Drypetes arborescens"
"477","Drypetes aylmeri","Drypetes aylmeri"
"478","Drypetes bakembei","Drypetes bakembei"
"479","Drypetes capillipes","Drypetes capillipes"
"480","Drypetes celastrinea","Drypetes celastrinea"
"481","Drypetes chevalieri","Drypetes chevalieri"
"482","Drypetes cinnabarina","Drypetes cinnabarina"
"483","Drypetes diopa","Drypetes diopa"
"484","Drypetes floribunda","Drypetes floribunda"
"485","Drypetes gabonensis","Drypetes gabonensis"
"486","Drypetes gilgiana","Drypetes gilgiana"
"487","Drypetes gossweileri","Drypetes gossweileri"
"488","Drypetes inaequalis","Drypetes inaequalis"
"489","Drypetes ituriensis","Drypetes ituriensis"
"490","Drypetes klaineana","Drypetes klaineana"
"491","Drypetes laciniata","Drypetes laciniata"
"492","Drypetes occidentalis","Drypetes occidentalis"
"493","Drypetes paxii","Drypetes paxii"
"494","Drypetes pellegrinii","Drypetes pellegrinii"
"495","Drypetes polyantha","Drypetes polyantha"
"496","Drypetes preussii","Drypetes preussii"
"497","Drypetes similis","Drypetes similis"
"498","Drypetes sp14 aff gabonensis","Drypetes sp14 aff gabonensis"
"499","Drypetes sp2 aff gilgiana","Drypetes sp2 aff gilgiana"
"500","Drypetes spinosodentata","Drypetes spinosodentata"
"501","Drypetes staudtii","Drypetes staudtii"
"502","Drypetes verrucosa","Drypetes verrucosa"
"503","Duboscia macrocarpa","Duboscia macrocarpa"
"504","Duguetia","Duguetia sp1"
"505","Duguetia barteri","Duguetia barteri"
"506","Duguetia confinis","Duguetia confinis"
"507","Duguetia dilabens","Duguetia dilabens"
"508","Duguetia staudtii","Duguetia staudtii"
"509","Ehretia cymosa","Ehretia cymosa"
"510","Elaeis guineensis","Elaeis guineensis"
"511","Elaeophorbia grandifolia","Elaeophorbia grandifolia"
"512","Empogona bequaertii","Empogona sp1"
"513","Empogona breteleri","Empogona sp1"
"514","Endodesmia calophylloides","Endodesmia calophylloides"
"515","Englerodendron","Englerodendron sp1"
"516","Englerodendron conchyliophorum","Englerodendron conchyliophorum"
"517","Englerodendron gabunense","Englerodendron gabunense/graciliflorum"
"518","Englerodendron graciliflorum","Englerodendron gabunense/graciliflorum"
"519","Englerodendron hallei","Englerodendron hallei"
"520","Englerodendron obanense","Englerodendron obanense/triplisomere"
"521","Englerodendron triplisomere","Englerodendron obanense/triplisomere"
"522","Englerophytum","Englerophytum sp1"
"523","Englerophytum congolensis","Englerophytum congolensis"
"524","Englerophytum ferrugineum","Englerophytum ferrugineum"
"525","Englerophytum gigantifolium","Englerophytum gigantifolium"
"526","Englerophytum mayumbense","Englerophytum mayumbense"
"527","Englerophytum paludosum","Englerophytum paludosum"
"528","Englerophytum stelechantha","Englerophytum stelechantha"
"529","Engomegoma gordonii","Engomegoma gordonii"
"530","Entada mannii","Entada mannii"
"531","Entandrophragma","Entandrophragma sp1"
"532","Entandrophragma angolense","Entandrophragma angolense"
"533","Entandrophragma candollei","Entandrophragma candollei"
"534","Entandrophragma congoense","Entandrophragma congoense"
"535","Entandrophragma cylindricum","Entandrophragma cylindricum"
"536","Entandrophragma utile","Entandrophragma utile"
"537","Eribroma oblonga","Eribroma oblongum"
"538","Eribroma oblongum","Eribroma oblongum"
"539","Eriocoelum","Eriocoelum sp1"
"540","Eriocoelum kerstingii","Eriocoelum sp1"
"541","Eriocoelum macrocarpum","Eriocoelum sp1"
"542","Eriocoelum oblongum","Eriocoelum sp1"
"543","Eriocoelum paniculatum","Eriocoelum sp1"
"544","Eriocoelum petiolare","Eriocoelum petiolare"
"545","Eriocoelum racemosum","Eriocoelum sp1"
"546","Erismadelphus exsul","Erismadelphus sp1"
"547","Erismadelphus exsul var. platyphyllus","Erismadelphus sp1"
"548","Erismadelphus sessilis","Erismadelphus sp1"
"549","Erythrina","Erythrina sp1"
"550","Erythrophleum ivorense","Erythrophleum ivorense"
"551","Erythrophleum lasianthum","Erythrophleum suaveolens"
