"","tax_tax","tax_morpho2"
"959","Pinacopodium congolense","Pinacopodium congolense"
"960","Piptadeniastrum africanum","Piptadeniastrum africanum"
"961","Piptostigma","Piptostigma sp1"
"962","Piptostigma goslineanum","Piptostigma sp1"
"963","Piptostigma macranthum","Piptostigma sp1"
"964","Piptostigma multinervium","Piptostigma sp1"
"965","Placodiscus","Placodiscus sp1"
"966","Placodiscus caudatus","Placodiscus sp1"
"967","Placodiscus oblongifolius","Placodiscus sp1"
"968","Placodiscus opacus","Placodiscus sp1"
"969","Placodiscus resendeanus","Placodiscus resendeanus"
"970","Plagiocladus diandrus","Plagiocladus diandrus"
"971","Plagiosiphon","Plagiosiphon sp1"
"972","Plagiosiphon emarginatus","Plagiosiphon emarginatus"
"973","Plagiosiphon gabonensis","Plagiosiphon gabonensis"
"974","Plagiosiphon longitubus","Plagiosiphon longitubus"
"975","Plagiosiphon multijugus","Plagiosiphon multijugus"
"976","Plagiosiphon sp1 aff multijugus","Plagiosiphon sp1"
"977","Plagiostyles africana","Plagiostyles africana"
"978","Pleioceras","Pleioceras sp1"
"979","Pleioceras zenkeri","Pleioceras zenkeri"
"980","Poga oleosa","Poga oleosa"
"981","Poggea gossweileri","Poggea gossweileri"
"982","Pogonophora letouzeyi","Pogonophora letouzeyi"
"983","Polyceratocarpus","Polyceratocarpus sp1"
"984","Polyceratocarpus angustifolius","Polyceratocarpus angustifolius"
"985","Polyceratocarpus microtrichus","Polyceratocarpus microtrichus"
"986","Polyceratocarpus parviflorus","Polyceratocarpus parviflorus"
"987","Polyceratocarpus pellegrinii","Polyceratocarpus pellegrinii"
"988","Polyscias fulva","Polyscias fulva"
"989","Pouteria altissima","Pouteria altissima"
"990","Premna angolensis","Premna angolensis"
"991","Prioria","Prioria sp1"
"992","Prioria balsamifera","Prioria balsamifera"
"993","Prioria buchholzii","Prioria buchholzii"
"994","Prioria joveri","Prioria joveri"
"995","Prioria oxyphylla","Prioria oxyphylla"
"996","Protomegabaria","Protomegabaria sp1"
"997","Protomegabaria macrophylla","Protomegabaria macrophylla"
"998","Protomegabaria stapfiana","Protomegabaria stapfiana"
"999","Pseudagrostistachys ugandensis","Pseudagrostistachys africana"
"1000","Pseudospondias","Pseudospondias sp1"
"1001","Pseudospondias longifolia","Pseudospondias sp1"
"1002","Pseudospondias microcarpa","Pseudospondias sp1"
"1003","Psorospermum tenuifolium","Psorospermum tenuifolium"
"1004","Psychotria","Psychotria sp1"
"1005","Psychotria densinervia","Psychotria sp1"
"1006","Psychotria dermatophylla","Psychotria dermatophylla"
"1007","Psychotria gabonica","Psychotria sp1"
"1008","Psychotria venosa","Psychotria venosa"
"1009","Psydrax","Psydrax sp1"
"1010","Psydrax arnoldiana","Psydrax arnoldiana"
"1011","Psydrax gilletii","Psydrax gilletii"
"1012","Psydrax palma","Psydrax palma"
"1013","Psydrax sanguinolenta","Psydrax sanguinolenta"
"1014","Psydrax splendens","Psydrax splendens"
"1015","Psydrax welwitschii","Psydrax welwitschii"
"1016","Pteleopsis hylodendron","Pteleopsis hylodendron"
"1017","Pterocarpus","Pterocarpus sp1"
"1018","Pterocarpus mildbraedii","Pterocarpus mildbraedii"
"1019","Pterocarpus soyauxii","Pterocarpus soyauxii"
"1020","Pterygota bequaertii","Pterygota bequaertii"
"1021","Ptychopetalum petiolatum","Ptychopetalum petiolatum"
"1022","Pycnanthus angolensis","Pycnanthus angolensis"
"1023","Pycnocoma cornuta","Pycnocoma cornuta"
"1024","Quassia africana","Quassia africana"
"1025","Quassia gabonensis","Quassia gabonensis"
"1026","Quassia silvestris","Quassia silvestris"
"1027","Radlkofera calodendron","Radlkofera calodendron"
"1028","Rauvolfia","Rauvolfia sp1"
"1029","Rauvolfia caffra","Rauvolfia caffra"
"1030","Rauvolfia letouzeyi","Rauvolfia letouzeyi"
"1031","Rauvolfia vomitoria","Rauvolfia vomitoria"
"1032","Rhabdophyllum","Rhabdophyllum sp1"
"1033","Rhabdophyllum arnoldianum","Rhabdophyllum arnoldianum"
"1034","Rhabdophyllum calophyllum","Rhabdophyllum calophyllum"
"1035","Rhabdophyllum letestui","Rhabdophyllum letestui"
"1036","Rhaphiostylis ferruginea","Rhaphiostylis ferruginea"
"1037","Rhaptopetalum","Rhaptopetalum sp1"
"1038","Rhaptopetalum coriaceum","Rhaptopetalum coriaceum"
"1039","Rhaptopetalum roseum","Rhaptopetalum roseum"
"1040","Rhaptopetalum sindarense","Rhaptopetalum sindarense"
"1041","Ricinodendron heudelotii","Ricinodendron heudelotii"
"1042","Rinorea","Rinorea sp1"
"1043","Rinorea angustifolia","Rinorea angustifolia/caudata"
"1044","Rinorea brachypetala","Rinorea sp1"
"1045","Rinorea cerasifolia","Rinorea cerasifolia"
"1046","Rinorea dentata","Rinorea sp1"
"1047","Rinorea gabunensis","Rinorea sp1"
